transactionId,accountId,amount,currency,type,valueDate,description,counterpartyId
TXN-2025-001,ACC-FR-001,2500.00,EUR,CREDIT,2025-06-01,Monthly salary - June 2025,EMPLOYER-001
TXN-2025-002,ACC-FR-001,1200.00,EUR,DEBIT,2025-06-02,Rent payment - June,LANDLORD-001
TXN-2025-003,ACC-FR-001,85.50,EUR,DEBIT,2025-06-03,Grocery shopping - Carrefour,CARREFOUR-001
TXN-2025-004,ACC-FR-001,15.00,EUR,DEBIT,2025-06-04,Netflix subscription,NETFLIX-001
TXN-2025-005,ACC-FR-002,500.00,USD,CREDIT,2025-06-05,Freelance payment - client A,CLIENT-A-001
TXN-2025-006,ACC-FR-002,320.00,GBP,DEBIT,2025-06-05,Online purchase - Amazon UK,AMAZON-UK-001
TXN-2025-007,ACC-FR-001,45.00,EUR,DEBIT,2025-06-06,Restaurant - Le Bistrot,
TXN-2025-008,ACC-FR-003,10000.00,CHF,CREDIT,2025-06-07,Investment return - Fund A,FUND-A-001
TXN-2025-009,ACC-FR-001,30.00,EUR,DEBIT,2025-06-08,Mobile phone - Orange,ORANGE-001
TXN-2025-010,ACC-FR-002,250.00,EUR,TRANSFER,2025-06-09,Transfer to savings account,ACC-FR-SAVINGS
TXN-2025-011,ACC-FR-001,12.99,EUR,DEBIT,2025-06-10,Spotify subscription,SPOTIFY-001
TXN-2025-012,ACC-FR-001,789.00,EUR,DEBIT,2025-06-11,Flight ticket - Air France,AIR-FRANCE-001
TXN-2025-013,ACC-FR-003,5000.00,JPY,CREDIT,2025-06-12,Japan client payment,JP-CLIENT-001
TXN-2025-014,ACC-FR-001,150.00,EUR,DEBIT,2025-06-13,Car insurance - AXA,AXA-001
TXN-2025-015,ACC-FR-002,3200.00,USD,CREDIT,2025-06-14,Consulting invoice #2025-06,CLIENT-B-001
